,Região,UF,Cidade,Sexo,Faixa Etária,Data Finalização,Tempo Resposta,Nome Fantasia,Segmento de Mercado,Área,Assunto,Grupo Problema,Problema,Como Comprou Contratou,Procurou Empresa,Respondida,Situação,Avaliação Reclamação,Nota do Consumidor,Total,ï»¿RegiÃ£o,Faixa EtÃ¡ria,Data FinalizaÃ§Ã£o,Ãrea,SituaÃ§Ã£o,AvaliaÃ§Ã£o ReclamaÃ§Ã£o
0,SE,SP,São José do Rio Preto,M,entre 31 a 40 anos,30/01/2019,1.0,CPFL Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Má qualidade do serviço,Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
1,SE,RJ,São Gonçalo,F,entre 21 a 30 anos,31/01/2019,4.0,Enel Distribuição Rio (Ampla),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Negativação indevida (SPC, Serasa, SCPC etc)",Loja física,S,S,Finalizada avaliada,Não Resolvida,2.0,1,,,,,,
2,NE,MA,Bacabal,F,entre 51 a 60 anos,07/01/2019,10.0,CEMAR,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Domicílio,N,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
3,S ,RS,Sapiranga,F,entre 31 a 40 anos,03/01/2019,6.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Loja física,N,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
4,NE,MA,Grajaú,F,entre 21 a 30 anos,07/01/2019,10.0,CEMAR,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
5,S ,RS,São Borja,M,mais de 70 anos,03/01/2019,6.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Domicílio,N,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
6,NE,BA,Feira de Santana,M,entre 41 a 50 anos,04/01/2019,0.0,Coelba,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Contrato / Oferta,Dificuldade para contratar / recusa injustificada,Internet,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
7,SE,SP,Bady Bassitt,F,entre 21 a 30 anos,22/01/2019,1.0,CPFL Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Telefone,S,S,Finalizada avaliada,Não Resolvida,5.0,1,,,,,,
8,SE,RJ,Rio de Janeiro,F,mais de 70 anos,04/01/2019,0.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Telefone,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
9,NE,CE,Iguatu,F,entre 51 a 60 anos,10/01/2019,6.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
